ticker,company_name,broad_sector,market_cap_category,pnl_count,bs_count,cf_count,prices_count,valuation_count
ABB,Abbott India Ltd,Industrials,Large Cap,12,13,12,60,6
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Large Cap,11,12,11,60,6
ADANIENT,Adani Enterprises Ltd,Industrials,Large Cap,12,13,12,60,6
ADANIGREEN,Adani Green Energy Ltd,Energy,Large Cap,8,9,8,60,6
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,Large Cap,12,13,12,60,6
ADANIPOWER,Adani Power Ltd,Energy,Large Cap,12,13,12,60,6
AMBUJACEM,Ambuja Cements Ltd,Materials,Large Cap,11,13,12,60,6
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Large Cap,12,13,12,60,6
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Large Cap,12,13,12,60,6
ATGL,Adani Total Gas Ltd,Energy,Large Cap,7,8,7,60,6
AXISBANK,Axis Bank Ltd,Financials,Large Cap,12,12,12,60,6
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
BAJAJFINSV,Bajaj Finserv Ltd,Financials,Large Cap,12,13,12,60,6
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,Large Cap,12,13,12,60,6
BAJFINANCE,Bajaj Finance Ltd,Financials,Large Cap,10,11,10,60,6
BANKBARODA,Bank of Baroda,Financials,Large Cap,12,12,12,60,6
BEL,Bharat Electronics Ltd,Industrials,Large Cap,12,13,12,60,6
BHARTIARTL,Bharti Airtel Ltd,Communication Services,Large Cap,12,13,12,60,6
BHEL,"Bharat Heavy Electricals Limited
",Industrials,Large Cap,12,13,12,60,6
BOSCHLTD,Bosch Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
BPCL,Bharat Petroleum Corporation Ltd,Energy,Large Cap,12,13,12,60,6
BRITANNIA,Britannia Industries Ltd,Consumer Staples,Large Cap,12,13,12,60,6
CANBK,Canara Bank,Financials,Large Cap,12,12,12,60,6
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,Large Cap,12,13,12,60,6
CIPLA,"Cipla Ltd
",Healthcare,Large Cap,12,13,12,60,6
COALINDIA,Coal India Ltd,Materials,Large Cap,12,13,12,60,6
DABUR,Dabur India Ltd,Consumer Staples,Large Cap,12,13,12,60,6
DIVISLAB,Divis Laboratories Ltd,Healthcare,Large Cap,12,13,12,60,6
DLF,DLF Ltd,Real Estate,Large Cap,12,13,12,60,6
DMART,Avenue Supermarts Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Mid Cap,12,13,12,60,6
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
GAIL,GAIL (India) Ltd,Energy,Large Cap,12,13,12,60,6
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,Large Cap,12,13,12,60,6
GRASIM,Grasim Industries Ltd,Industrials,Mid Cap,12,13,12,60,6
HAL,Hindustan Aeronautics Ltd,Industrials,Large Cap,12,10,8,60,6
HAVELLS,Havells India Ltd,Industrials,Large Cap,12,13,12,60,6
HCLTECH,HCL Technologies Ltd,Information Technology,Large Cap,11,13,12,60,6
HDFCBANK,HDFC Bank Ltd,Financials,Large Cap,12,12,12,60,6
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,Large Cap,12,13,12,60,6
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,Large Cap,11,12,11,60,6
HINDALCO,Hindalco Industries Ltd,Materials,Large Cap,12,13,12,60,6
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,Mid Cap,12,13,12,60,6
ICICIBANK,ICICI Bank Ltd,Financials,Large Cap,12,12,12,60,6
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,Large Cap,12,13,12,60,6
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,Large Cap,12,13,12,60,6
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
INDUSINDBK,IndusInd Bank Ltd,Financials,Large Cap,12,12,12,60,6
INFY,Infosys Ltd,Information Technology,Large Cap,12,13,12,60,6
IOC,"Indian Oil Corporation
",Energy,Mid Cap,12,13,12,60,6
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Mid Cap,10,11,10,60,6
IRFC,Indian Railway Finance Corporation Ltd,Financials,Large Cap,12,13,9,60,6
ITC,"ITC Ltd
",Consumer Staples,Large Cap,12,13,12,60,6
JINDALSTEL,Jindal Steel & Power Ltd,Materials,Large Cap,12,13,12,60,6
JIOFIN,Jio Financial Services Ltd,Financials,Mid Cap,2,3,2,60,6
JSWENERGY,JSW Energy Ltd,Energy,Mid Cap,12,13,12,60,6
JSWSTEEL,JSW Steel Ltd,Materials,Large Cap,12,13,12,60,6
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,Large Cap,12,12,12,60,6
LICI,Life Insurance Corporation of India,Financials,Large Cap,6,7,6,60,6
